filename,lipid_fit,aqueous_fit,roughness_fit,score,corr,osc_ratio,dev_score,gt_lipid,gt_aqueous
(Run)spectra_15-13-12-259.txt,89.0,4030.0,6810.0,0.6565382489403534,0.929063669909137,1.4014634004957043,10.446665565525132,33.1159803,2771.1086549
(Run)spectra_15-13-12-323.txt,49.25,2150.0,6850.0,1.0,0.9457160150112428,0.9310758675331081,11.484214250094235,33.8584461,2747.326374
(Run)spectra_15-13-12-377.txt,36.0,2800.0,6675.0,0.9062085148705404,0.923503048937874,1.4410986869192381,11.604222893051992,33.9615613,2723.7515271
(Run)spectra_15-13-12-432.txt,113.0,4090.0,6985.0,0.6989347309401668,0.9198904627439983,1.214292233535138,17.159397067510973,34.1976119,2700.227419
(Run)spectra_15-13-12-490.txt,117.0,4350.0,7000.0,0.9133439053805952,0.9231059881543735,1.2110672104119955,9.685136677577802,33.879708,2681.0894529
(Run)spectra_15-13-12-540.txt,118.0,4020.0,6850.0,0.8961244275230771,0.9236167821649405,1.2710997026576392,9.452614816158393,33.5164214,2662.5681722
(Run)spectra_15-13-12-598.txt,56.5,4050.0,6950.0,0.8168443599220208,0.9806602632720116,1.430102200385158,13.132954533026487,33.4170371,2647.6070797
(Run)spectra_15-13-12-659.txt,99.0,4000.0,7000.0,0.934428041915477,0.9758081150280677,1.2059401786667259,9.499354582397917,33.2755712,2645.1300321
(Run)spectra_15-13-12-722.txt,96.0,4000.0,6925.0,0.9168506906065234,0.9785747220745993,1.265096503340658,8.978634978277267,33.1885723,2637.0668504
(Run)spectra_15-13-12-767.txt,89.0,4000.0,7000.0,0.7780092767855938,0.9819181738080018,1.2316526976761462,9.135248600573217,33.1811257,2633.0438755
(Run)spectra_15-13-12-823.txt,125.0,4230.0,6975.0,0.8294950849340947,0.8769472406272253,1.2931824576115891,9.709371109221093,33.1254097,2628.2181682
(Run)spectra_15-13-12-882.txt,121.5,3950.0,6975.0,0.8183880923425341,0.9185961272299845,1.1392844079816877,12.30774633847593,33.2600937,2621.9297574
(Run)spectra_15-13-12-935.txt,122.75,3950.0,6950.0,0.8396506867832207,0.9120852479155913,1.2374228076883842,11.281793342173213,33.4387165,2613.8820358
(Run)spectra_15-13-13-010.txt,121.5,3950.0,6875.0,0.8670145459193078,0.9204283450017414,1.3421089869869443,9.283630210194305,33.8514779,2605.2395997
(Run)spectra_15-13-13-050.txt,118.0,3660.0,6890.0,0.823817425084907,0.9252933852774741,1.2494189125263782,13.379521890671759,34.3904523,2600.8394194
(Run)spectra_15-13-13-101.txt,119.5,3920.0,6975.0,0.78202933698177,0.936204545141538,1.3040381899446538,13.035326244916137,35.075247,2591.4683077
(Run)spectra_15-13-13-162.txt,95.25,3950.0,6950.0,0.754836982293817,0.9845156331617299,1.3813012099199728,16.41639600916323,35.5532108,2586.7494648
(Run)spectra_15-13-13-217.txt,125.75,3630.0,6875.0,0.6772132464779885,0.8622869971258634,1.2050597232038338,13.595569885491795,36.1845218,2582.8009415
(Run)spectra_15-13-13-273.txt,44.75,2680.0,7000.0,0.9590404161753083,0.9713291961259364,1.1717077185223201,16.213917931018607,36.3680176,2580.2470353
(Run)spectra_15-13-13-328.txt,59.0,2650.0,6875.0,0.8487185001972621,0.9748734518970504,1.2210518217967365,15.767695009884774,36.4603916,2576.1195875
(Run)spectra_15-13-13-387.txt,59.0,2650.0,6875.0,0.8447464944006742,0.9772506586938898,1.2809573002491044,15.131591955786556,36.6613667,2571.9316642
(Run)spectra_15-13-13-442.txt,118.5,3900.0,6975.0,0.7546341963507455,0.9455523138420552,1.4481008176110273,12.620285077795579,36.1652457,2567.6089766
(Run)spectra_15-13-13-508.txt,47.0,2260.0,6975.0,0.8336535210662415,0.9704830111731951,1.2792585114833557,19.42736850572054,35.8087623,2554.2937107
(Run)spectra_15-13-13-551.txt,86.0,1860.0,6880.0,0.6869022063198359,0.9847368403632604,1.1319015439656195,17.55159700992805,36.0982426,2524.6656761
(Run)spectra_15-13-13-614.txt,32.75,1900.0,6975.0,0.7561026894408608,0.9673087855041136,1.4620967415784711,18.752143440913432,36.2735644,2519.2685353
(Run)spectra_15-13-13-666.txt,92.0,1840.0,6950.0,0.8256561012371615,0.9833236530286764,1.3828182506549176,,,
(Run)spectra_15-13-13-717.txt,122.0,3640.0,6910.0,0.33876865204282675,0.8624216449900619,2.566493024139099,,,
(Run)spectra_15-13-13-774.txt,106.0,3700.0,7000.0,0.2779202260316699,0.9388964973916342,2.690900804660993,,,
(Run)spectra_15-13-13-829.txt,106.75,2090.0,6950.0,0.6389862408392766,0.9307682387507141,1.491508374089885,,,
(Run)spectra_15-13-13-888.txt,83.0,1820.0,7000.0,0.6350546097720396,0.9816735215319646,1.283358086217663,,,
(Run)spectra_15-13-13-944.txt,57.0,800.0,6120.0,0.5814853509198993,0.9882970260165999,0.9727872603116312,,,
(Run)spectra_15-13-14-001.txt,107.25,2090.0,6975.0,0.4707499161878227,0.9327570996152441,1.4750845884521857,,,
(Run)spectra_15-13-14-052.txt,106.5,2100.0,7000.0,0.6270161674818829,0.9324157815131161,1.406955113942406,,,
(Run)spectra_15-13-14-113.txt,104.0,4000.0,7000.0,0.32141486749951337,0.95598598626929,2.724306544217683,,,
(Run)spectra_15-13-14-168.txt,51.5,800.0,6250.0,0.39505511985057995,0.9890876208872669,0.9342865312466508,,,
(Run)spectra_15-13-14-231.txt,112.75,2050.0,6975.0,0.5871912330482925,0.9087316093759472,1.4384162409516734,,,
(Run)spectra_15-13-14-281.txt,49.0,800.0,6180.0,0.6621700894595582,0.9886076795570952,0.9751822211449039,,,
(Run)spectra_15-13-14-334.txt,42.25,1300.0,6300.0,0.7914802074267078,0.9421931495276363,1.39415496079502,16.741962982904763,34.7061967,2415.0412078
(Run)spectra_15-13-14-401.txt,42.0,1310.0,6225.0,0.6889004769320468,0.9266717067922107,1.423061504785497,20.024417839727874,34.5819892,2411.968593
(Run)spectra_15-13-14-448.txt,114.0,2730.0,7000.0,0.6649313058579074,0.9069669399448129,1.4599491253672752,17.671968329522354,34.7854888,2405.3817633
