spectrum_name,spectrum_base,absolute_time,lipid_shlomo_nm,aqueous_shlomo_nm
(Run)spectra_15-13-12-259.txt,(Run)spectra_15-13-12-259,15-13-12-259,33.1159803,2771.1086549
(Run)spectra_15-13-12-323.txt,(Run)spectra_15-13-12-323,15-13-12-323,33.8584461,2747.326374
(Run)spectra_15-13-12-377.txt,(Run)spectra_15-13-12-377,15-13-12-377,33.9615613,2723.7515271
(Run)spectra_15-13-12-432.txt,(Run)spectra_15-13-12-432,15-13-12-432,34.1976119,2700.227419
(Run)spectra_15-13-12-490.txt,(Run)spectra_15-13-12-490,15-13-12-490,33.879708,2681.0894529
(Run)spectra_15-13-12-540.txt,(Run)spectra_15-13-12-540,15-13-12-540,33.5164214,2662.5681722
(Run)spectra_15-13-12-598.txt,(Run)spectra_15-13-12-598,15-13-12-598,33.4170371,2647.6070797
(Run)spectra_15-13-12-659.txt,(Run)spectra_15-13-12-659,15-13-12-659,33.2755712,2645.1300321
(Run)spectra_15-13-12-722.txt,(Run)spectra_15-13-12-722,15-13-12-722,33.1885723,2637.0668504
(Run)spectra_15-13-12-767.txt,(Run)spectra_15-13-12-767,15-13-12-767,33.1811257,2633.0438755
(Run)spectra_15-13-12-823.txt,(Run)spectra_15-13-12-823,15-13-12-823,33.1254097,2628.2181682
(Run)spectra_15-13-12-882.txt,(Run)spectra_15-13-12-882,15-13-12-882,33.2600937,2621.9297574
(Run)spectra_15-13-12-935.txt,(Run)spectra_15-13-12-935,15-13-12-935,33.4387165,2613.8820358
(Run)spectra_15-13-13-010.txt,(Run)spectra_15-13-13-010,15-13-13-010,33.8514779,2605.2395997
(Run)spectra_15-13-13-050.txt,(Run)spectra_15-13-13-050,15-13-13-050,34.3904523,2600.8394194
(Run)spectra_15-13-13-101.txt,(Run)spectra_15-13-13-101,15-13-13-101,35.075247,2591.4683077
(Run)spectra_15-13-13-162.txt,(Run)spectra_15-13-13-162,15-13-13-162,35.5532108,2586.7494648
(Run)spectra_15-13-13-217.txt,(Run)spectra_15-13-13-217,15-13-13-217,36.1845218,2582.8009415
(Run)spectra_15-13-13-273.txt,(Run)spectra_15-13-13-273,15-13-13-273,36.3680176,2580.2470353
(Run)spectra_15-13-13-328.txt,(Run)spectra_15-13-13-328,15-13-13-328,36.4603916,2576.1195875
(Run)spectra_15-13-13-387.txt,(Run)spectra_15-13-13-387,15-13-13-387,36.6613667,2571.9316642
(Run)spectra_15-13-13-442.txt,(Run)spectra_15-13-13-442,15-13-13-442,36.1652457,2567.6089766
(Run)spectra_15-13-13-508.txt,(Run)spectra_15-13-13-508,15-13-13-508,35.8087623,2554.2937107
(Run)spectra_15-13-13-551.txt,(Run)spectra_15-13-13-551,15-13-13-551,36.0982426,2524.6656761
(Run)spectra_15-13-13-614.txt,(Run)spectra_15-13-13-614,15-13-13-614,36.2735644,2519.2685353
(Run)spectra_15-13-14-334.txt,(Run)spectra_15-13-14-334,15-13-14-334,34.7061967,2415.0412078
(Run)spectra_15-13-14-401.txt,(Run)spectra_15-13-14-401,15-13-14-401,34.5819892,2411.968593
(Run)spectra_15-13-14-448.txt,(Run)spectra_15-13-14-448,15-13-14-448,34.7854888,2405.3817633
(Run)spectra_15-13-14-521.txt,(Run)spectra_15-13-14-521,15-13-14-521,34.8996346,2402.5420375
(Run)spectra_15-13-14-561.txt,(Run)spectra_15-13-14-561,15-13-14-561,34.797775,2398.8663622
(Run)spectra_15-13-14-618.txt,(Run)spectra_15-13-14-618,15-13-14-618,34.5023177,2391.3884133
(Run)spectra_15-13-14-671.txt,(Run)spectra_15-13-14-671,15-13-14-671,34.5100158,2380.4694298
(Run)spectra_15-13-14-734.txt,(Run)spectra_15-13-14-734,15-13-14-734,34.7376116,2370.8090628
(Run)spectra_15-13-14-786.txt,(Run)spectra_15-13-14-786,15-13-14-786,35.0431446,2367.3431593
(Run)spectra_15-13-14-841.txt,(Run)spectra_15-13-14-841,15-13-14-841,34.6532321,2364.5274297
(Run)spectra_15-13-14-900.txt,(Run)spectra_15-13-14-900,15-13-14-900,34.0905183,2359.5627473
(Run)spectra_15-13-14-950.txt,(Run)spectra_15-13-14-950,15-13-14-950,34.2479586,2353.6846961
(Run)spectra_15-13-15-013.txt,(Run)spectra_15-13-15-013,15-13-15-013,34.1964748,2346.2194119
(Run)spectra_15-13-15-066.txt,(Run)spectra_15-13-15-066,15-13-15-066,34.1692222,2341.2223976
(Run)spectra_15-13-15-129.txt,(Run)spectra_15-13-15-129,15-13-15-129,34.1202193,2334.6858264
(Run)spectra_15-13-15-181.txt,(Run)spectra_15-13-15-181,15-13-15-181,34.086547,2332.6167077
(Run)spectra_15-13-15-236.txt,(Run)spectra_15-13-15-236,15-13-15-236,34.0780937,2333.997875
(Run)spectra_15-13-15-299.txt,(Run)spectra_15-13-15-299,15-13-15-299,34.1808666,2326.2061726
(Run)spectra_15-13-15-343.txt,(Run)spectra_15-13-15-343,15-13-15-343,33.9910733,2321.0677125
(Run)spectra_15-13-15-400.txt,(Run)spectra_15-13-15-400,15-13-15-400,34.4797388,2324.6963252
(Run)spectra_15-13-15-457.txt,(Run)spectra_15-13-15-457,15-13-15-457,34.3142166,2330.1630507
(Run)spectra_15-13-15-512.txt,(Run)spectra_15-13-15-512,15-13-15-512,34.2190603,2334.9201943
(Run)spectra_15-13-15-635.txt,(Run)spectra_15-13-15-635,15-13-15-635,33.9199122,2315.0833753
(Run)spectra_15-13-15-682.txt,(Run)spectra_15-13-15-682,15-13-15-682,33.8756564,2309.2982676
(Run)spectra_15-13-15-735.txt,(Run)spectra_15-13-15-735,15-13-15-735,34.222463,2310.0272552
(Run)spectra_15-13-15-913.txt,(Run)spectra_15-13-15-913,15-13-15-913,33.8285645,2252.7412064
(Run)spectra_15-13-15-962.txt,(Run)spectra_15-13-15-962,15-13-15-962,34.5893915,2229.657756
(Run)spectra_15-13-16-509.txt,(Run)spectra_15-13-16-509,15-13-16-509,36.7556366,2005.2122795
(Run)spectra_15-13-16-547.txt,(Run)spectra_15-13-16-547,15-13-16-547,37.2070743,1996.9918819
(Run)spectra_15-13-16-610.txt,(Run)spectra_15-13-16-610,15-13-16-610,36.6388733,1997.1503522
(Run)spectra_15-13-16-661.txt,(Run)spectra_15-13-16-661,15-13-16-661,35.9478565,1997.2572605
(Run)spectra_15-13-16-712.txt,(Run)spectra_15-13-16-712,15-13-16-712,36.1116046,1983.9829011
(Run)spectra_15-13-16-767.txt,(Run)spectra_15-13-16-767,15-13-16-767,36.3532338,1976.0894046
(Run)spectra_15-13-16-838.txt,(Run)spectra_15-13-16-838,15-13-16-838,36.36303,1968.1194087
(Run)spectra_15-13-16-883.txt,(Run)spectra_15-13-16-883,15-13-16-883,36.3871856,1958.2839322
(Run)spectra_15-13-16-939.txt,(Run)spectra_15-13-16-939,15-13-16-939,36.3321822,1959.8688166
(Run)spectra_15-13-16-994.txt,(Run)spectra_15-13-16-994,15-13-16-994,36.2546314,1954.2573153
(Run)spectra_15-13-17-049.txt,(Run)spectra_15-13-17-049,15-13-17-049,35.8875691,1960.2246888
(Run)spectra_15-13-17-108.txt,(Run)spectra_15-13-17-108,15-13-17-108,35.9875097,1947.0388569
(Run)spectra_15-13-17-163.txt,(Run)spectra_15-13-17-163,15-13-17-163,35.8779483,1937.3686944
(Run)spectra_15-13-17-234.txt,(Run)spectra_15-13-17-234,15-13-17-234,35.8196337,1920.5852083
(Run)spectra_15-13-17-329.txt,(Run)spectra_15-13-17-329,15-13-17-329,35.7338141,1907.3369318
(Run)spectra_15-13-17-386.txt,(Run)spectra_15-13-17-386,15-13-17-386,35.6107427,1893.9613418
(Run)spectra_15-13-17-443.txt,(Run)spectra_15-13-17-443,15-13-17-443,35.5035674,1882.7817197
(Run)spectra_15-13-17-505.txt,(Run)spectra_15-13-17-505,15-13-17-505,35.66809,1871.5080943
(Run)spectra_15-13-17-554.txt,(Run)spectra_15-13-17-554,15-13-17-554,35.5456451,1878.2430701
(Run)spectra_15-13-17-945.txt,(Run)spectra_15-13-17-945,15-13-17-945,36.1880273,2799.3247875
(Run)spectra_15-13-18-018.txt,(Run)spectra_15-13-18-018,15-13-18-018,36.38539,2746.020942
(Run)spectra_15-13-18-057.txt,(Run)spectra_15-13-18-057,15-13-18-057,35.7761278,2705.5167859
(Run)spectra_15-13-18-128.txt,(Run)spectra_15-13-18-128,15-13-18-128,35.8879295,2679.5926094
(Run)spectra_15-13-18-170.txt,(Run)spectra_15-13-18-170,15-13-18-170,35.5021651,2659.9796853
(Run)spectra_15-13-18-229.txt,(Run)spectra_15-13-18-229,15-13-18-229,35.3280185,2636.6304142
(Run)spectra_15-13-18-286.txt,(Run)spectra_15-13-18-286,15-13-18-286,35.1219967,2611.7001394
(Run)spectra_15-13-18-353.txt,(Run)spectra_15-13-18-353,15-13-18-353,35.1389494,2598.5585988
(Run)spectra_15-13-18-399.txt,(Run)spectra_15-13-18-399,15-13-18-399,35.25,2585.669438
(Run)spectra_15-13-18-452.txt,(Run)spectra_15-13-18-452,15-13-18-452,35.316006,2561.4466457
(Run)spectra_15-13-18-517.txt,(Run)spectra_15-13-18-517,15-13-18-517,35.4565416,2543.5895423
(Run)spectra_15-13-18-561.txt,(Run)spectra_15-13-18-561,15-13-18-561,35.8357694,2539.8042762
(Run)spectra_15-13-18-622.txt,(Run)spectra_15-13-18-622,15-13-18-622,36.0457858,2536.1795425
(Run)spectra_15-13-18-677.txt,(Run)spectra_15-13-18-677,15-13-18-677,36.2317636,2523.8715835
(Run)spectra_15-13-18-758.txt,(Run)spectra_15-13-18-758,15-13-18-758,36.5953473,2503.9386744
(Run)spectra_15-13-18-816.txt,(Run)spectra_15-13-18-816,15-13-18-816,36.8938103,2489.2683604
(Run)spectra_15-13-18-875.txt,(Run)spectra_15-13-18-875,15-13-18-875,37.4590096,2473.4610204
(Run)spectra_15-13-18-926.txt,(Run)spectra_15-13-18-926,15-13-18-926,37.8935968,2458.3393965
(Run)spectra_15-13-18-985.txt,(Run)spectra_15-13-18-985,15-13-18-985,38.0107753,2444.0091769
(Run)spectra_15-13-19-039.txt,(Run)spectra_15-13-19-039,15-13-19-039,37.75,2435.6476015
(Run)spectra_15-13-19-126.txt,(Run)spectra_15-13-19-126,15-13-19-126,38.1298092,2416.4519238
(Run)spectra_15-13-19-151.txt,(Run)spectra_15-13-19-151,15-13-19-151,38.1379173,2407.4588101
(Run)spectra_15-13-19-222.txt,(Run)spectra_15-13-19-222,15-13-19-222,38.3285708,2389.3410931
(Run)spectra_15-13-19-262.txt,(Run)spectra_15-13-19-262,15-13-19-262,38.1844364,2384.26928
(Run)spectra_15-13-19-323.txt,(Run)spectra_15-13-19-323,15-13-19-323,38.1989828,2366.1437285
(Run)spectra_15-13-19-374.txt,(Run)spectra_15-13-19-374,15-13-19-374,38.3365182,2351.114918
(Run)spectra_15-13-19-434.txt,(Run)spectra_15-13-19-434,15-13-19-434,38.3769761,2338.2111946
(Run)spectra_15-13-19-507.txt,(Run)spectra_15-13-19-507,15-13-19-507,38.1245314,2330.2366213
(Run)spectra_15-13-19-543.txt,(Run)spectra_15-13-19-543,15-13-19-543,37.8034414,2323.3292649
(Run)spectra_15-13-19-618.txt,(Run)spectra_15-13-19-618,15-13-19-618,37.7048007,2312.1663248
(Run)spectra_15-13-19-655.txt,(Run)spectra_15-13-19-655,15-13-19-655,37.6086073,2301.3353224
(Run)spectra_15-13-19-736.txt,(Run)spectra_15-13-19-736,15-13-19-736,37.5823241,2293.2376186
(Run)spectra_15-13-19-766.txt,(Run)spectra_15-13-19-766,15-13-19-766,37.4057508,2287.1078548
(Run)spectra_15-13-19-831.txt,(Run)spectra_15-13-19-831,15-13-19-831,37.2781562,2275.0375206
(Run)spectra_15-13-19-882.txt,(Run)spectra_15-13-19-882,15-13-19-882,37.145967,2267.5399969
(Run)spectra_15-13-19-934.txt,(Run)spectra_15-13-19-934,15-13-19-934,37.245688,2264.883842
(Run)spectra_15-13-20-017.txt,(Run)spectra_15-13-20-017,15-13-20-017,36.9281917,2271.5896418
(Run)spectra_15-13-20-051.txt,(Run)spectra_15-13-20-051,15-13-20-051,36.6463195,2275.2843393
(Run)spectra_15-13-20-115.txt,(Run)spectra_15-13-20-115,15-13-20-115,36.8182895,2253.9846771
(Run)spectra_15-13-20-160.txt,(Run)spectra_15-13-20-160,15-13-20-160,37.1359047,2226.8132715
(Run)spectra_15-13-20-212.txt,(Run)spectra_15-13-20-212,15-13-20-212,37.201702,2216.1369115
(Run)spectra_15-13-20-273.txt,(Run)spectra_15-13-20-273,15-13-20-273,36.912516,2216.5437305
(Run)spectra_15-13-20-324.txt,(Run)spectra_15-13-20-324,15-13-20-324,37.0292068,2218.0705344
(Run)spectra_15-13-20-384.txt,(Run)spectra_15-13-20-384,15-13-20-384,37.0925745,2206.1832536
(Run)spectra_15-13-20-437.txt,(Run)spectra_15-13-20-437,15-13-20-437,37.1261537,2191.3491903
(Run)spectra_15-13-20-494.txt,(Run)spectra_15-13-20-494,15-13-20-494,37.1542747,2182.7307743
(Run)spectra_15-13-20-552.txt,(Run)spectra_15-13-20-552,15-13-20-552,36.709334,2198.7990897
(Run)spectra_15-13-20-634.txt,(Run)spectra_15-13-20-634,15-13-20-634,36.6403869,2192.9586986
(Run)spectra_15-13-20-702.txt,(Run)spectra_15-13-20-702,15-13-20-702,36.8828304,2176.0343958
(Run)spectra_15-13-20-747.txt,(Run)spectra_15-13-20-747,15-13-20-747,36.8352147,2168.7430536
(Run)spectra_15-13-20-809.txt,(Run)spectra_15-13-20-809,15-13-20-809,36.5556736,2160.5151531
(Run)spectra_15-13-20-858.txt,(Run)spectra_15-13-20-858,15-13-20-858,36.8850054,2125.7284498
(Run)spectra_15-13-20-927.txt,(Run)spectra_15-13-20-927,15-13-20-927,36.8760494,2122.4874782
(Run)spectra_15-13-20-971.txt,(Run)spectra_15-13-20-971,15-13-20-971,36.8127866,2105.1382718
(Run)spectra_15-13-21-029.txt,(Run)spectra_15-13-21-029,15-13-21-029,36.8490695,2094.7587601
(Run)spectra_15-13-21-084.txt,(Run)spectra_15-13-21-084,15-13-21-084,37.1178943,2070.5844263
(Run)spectra_15-13-21-143.txt,(Run)spectra_15-13-21-143,15-13-21-143,37.2767002,2046.584077
(Run)spectra_15-13-21-220.txt,(Run)spectra_15-13-21-220,15-13-21-220,37.2964972,2038.5125697
(Run)spectra_15-13-21-280.txt,(Run)spectra_15-13-21-280,15-13-21-280,37.3617796,2030.0249647
(Run)spectra_15-13-21-343.txt,(Run)spectra_15-13-21-343,15-13-21-343,37.5070386,2019.2316911
(Run)spectra_15-13-21-388.txt,(Run)spectra_15-13-21-388,15-13-21-388,37.4245007,2021.8427491
(Run)spectra_15-13-21-449.txt,(Run)spectra_15-13-21-449,15-13-21-449,37.3545306,2014.6336178
(Run)spectra_15-13-21-511.txt,(Run)spectra_15-13-21-511,15-13-21-511,37.2940816,2017.2961573
(Run)spectra_15-13-21-562.txt,(Run)spectra_15-13-21-562,15-13-21-562,37.3362766,2009.418467
(Run)spectra_15-13-21-617.txt,(Run)spectra_15-13-21-617,15-13-21-617,37.353045,2010.7661064
(Run)spectra_15-13-21-670.txt,(Run)spectra_15-13-21-670,15-13-21-670,37.25589,1996.1469756
(Run)spectra_15-13-21-726.txt,(Run)spectra_15-13-21-726,15-13-21-726,37.3392666,1979.8600754
(Run)spectra_15-13-21-781.txt,(Run)spectra_15-13-21-781,15-13-21-781,37.1448296,1977.2334788
(Run)spectra_15-13-21-842.txt,(Run)spectra_15-13-21-842,15-13-21-842,37.0128554,1974.8729016
(Run)spectra_15-13-21-917.txt,(Run)spectra_15-13-21-917,15-13-21-917,37.2671879,1968.9738234
(Run)spectra_15-13-21-948.txt,(Run)spectra_15-13-21-948,15-13-21-948,37.2494628,1967.8272224
(Run)spectra_15-13-22-024.txt,(Run)spectra_15-13-22-024,15-13-22-024,37.0592319,1965.2752346
(Run)spectra_15-13-22-061.txt,(Run)spectra_15-13-22-061,15-13-22-061,36.9222872,1967.7516897
(Run)spectra_15-13-22-128.txt,(Run)spectra_15-13-22-128,15-13-22-128,36.7215876,1972.111719
(Run)spectra_15-13-22-180.txt,(Run)spectra_15-13-22-180,15-13-22-180,36.9375796,1966.3710909
(Run)spectra_15-13-22-231.txt,(Run)spectra_15-13-22-231,15-13-22-231,36.966177,1967.0253888
(Run)spectra_15-13-22-290.txt,(Run)spectra_15-13-22-290,15-13-22-290,37.1801374,1961.6219723
(Run)spectra_15-13-22-342.txt,(Run)spectra_15-13-22-342,15-13-22-342,37.1415312,1962.9595597
(Run)spectra_15-13-22-568.txt,(Run)spectra_15-13-22-568,15-13-22-568,36.939454,2867.3927643
(Run)spectra_15-13-22-627.txt,(Run)spectra_15-13-22-627,15-13-22-627,39.3630845,2829.9279126
(Run)spectra_15-13-22-678.txt,(Run)spectra_15-13-22-678,15-13-22-678,39.219909,2777.4642467
(Run)spectra_15-13-22-739.txt,(Run)spectra_15-13-22-739,15-13-22-739,38.3700976,2738.8950988
(Run)spectra_15-13-22-809.txt,(Run)spectra_15-13-22-809,15-13-22-809,37.6785033,2709.9848655
(Run)spectra_15-13-22-846.txt,(Run)spectra_15-13-22-846,15-13-22-846,37.6166707,2682.218367
(Run)spectra_15-13-22-919.txt,(Run)spectra_15-13-22-919,15-13-22-919,37.53827,2663.64579
(Run)spectra_15-13-22-960.txt,(Run)spectra_15-13-22-960,15-13-22-960,37.9132921,2647.3095988
(Run)spectra_15-13-23-028.txt,(Run)spectra_15-13-23-028,15-13-23-028,38.1484062,2628.1546273
(Run)spectra_15-13-23-075.txt,(Run)spectra_15-13-23-075,15-13-23-075,38.1867566,2616.1254452
(Run)spectra_15-13-23-132.txt,(Run)spectra_15-13-23-132,15-13-23-132,38.4856868,2598.5775309
(Run)spectra_15-13-23-185.txt,(Run)spectra_15-13-23-185,15-13-23-185,38.2240524,2576.3689038
(Run)spectra_15-13-23-241.txt,(Run)spectra_15-13-23-241,15-13-23-241,38.4253635,2551.7705067
(Run)spectra_15-13-23-302.txt,(Run)spectra_15-13-23-302,15-13-23-302,38.5461208,2530.3137938
(Run)spectra_15-13-23-357.txt,(Run)spectra_15-13-23-357,15-13-23-357,38.5841717,2504.7538159
(Run)spectra_15-13-23-418.txt,(Run)spectra_15-13-23-418,15-13-23-418,38.5265705,2489.985641
(Run)spectra_15-13-23-464.txt,(Run)spectra_15-13-23-464,15-13-23-464,38.5955743,2472.4076882
(Run)spectra_15-13-23-537.txt,(Run)spectra_15-13-23-537,15-13-23-537,38.4545191,2458.4013937
(Run)spectra_15-13-23-576.txt,(Run)spectra_15-13-23-576,15-13-23-576,38.3746437,2448.3612133
(Run)spectra_15-13-23-635.txt,(Run)spectra_15-13-23-635,15-13-23-635,38.1429764,2439.0969037
(Run)spectra_15-13-23-691.txt,(Run)spectra_15-13-23-691,15-13-23-691,38.0009865,2426.7129215
(Run)spectra_15-13-23-744.txt,(Run)spectra_15-13-23-744,15-13-23-744,38.5917581,2416.9901069
(Run)spectra_15-13-23-831.txt,(Run)spectra_15-13-23-831,15-13-23-831,38.7741852,2406.9355497
(Run)spectra_15-13-23-855.txt,(Run)spectra_15-13-23-855,15-13-23-855,38.8175464,2390.4092513
(Run)spectra_15-13-23-924.txt,(Run)spectra_15-13-23-924,15-13-23-924,38.2881902,2383.8403962
(Run)spectra_15-13-23-968.txt,(Run)spectra_15-13-23-968,15-13-23-968,38.1023207,2373.9930037
(Run)spectra_15-13-24-025.txt,(Run)spectra_15-13-24-025,15-13-24-025,38.3146991,2367.1602602
(Run)spectra_15-13-24-082.txt,(Run)spectra_15-13-24-082,15-13-24-082,38.3148899,2361.1641593
(Run)spectra_15-13-24-165.txt,(Run)spectra_15-13-24-165,15-13-24-165,38.5792175,2347.8899819
(Run)spectra_15-13-24-222.txt,(Run)spectra_15-13-24-222,15-13-24-222,38.0398321,2339.8176897
(Run)spectra_15-13-24-285.txt,(Run)spectra_15-13-24-285,15-13-24-285,37.8300381,2331.6914409
(Run)spectra_15-13-24-334.txt,(Run)spectra_15-13-24-334,15-13-24-334,37.4228002,2326.3157403
(Run)spectra_15-13-24-390.txt,(Run)spectra_15-13-24-390,15-13-24-390,37.592723,2315.7255772
(Run)spectra_15-13-24-449.txt,(Run)spectra_15-13-24-449,15-13-24-449,37.5370065,2312.0491276
(Run)spectra_15-13-24-504.txt,(Run)spectra_15-13-24-504,15-13-24-504,37.3100841,2308.4425285
(Run)spectra_15-13-24-559.txt,(Run)spectra_15-13-24-559,15-13-24-559,37.2499095,2302.9925039
(Run)spectra_15-13-24-624.txt,(Run)spectra_15-13-24-624,15-13-24-624,37.2320316,2296.1926798
(Run)spectra_15-13-24-668.txt,(Run)spectra_15-13-24-668,15-13-24-668,37.3186775,2290.7495876
(Run)spectra_15-13-24-739.txt,(Run)spectra_15-13-24-739,15-13-24-739,37.1784573,2288.8039747
(Run)spectra_15-13-24-786.txt,(Run)spectra_15-13-24-786,15-13-24-786,37.076518,2282.9610066
(Run)spectra_15-13-24-837.txt,(Run)spectra_15-13-24-837,15-13-24-837,36.8521808,2273.3300352
(Run)spectra_15-13-24-895.txt,(Run)spectra_15-13-24-895,15-13-24-895,36.7639597,2265.9314474
(Run)spectra_15-13-24-946.txt,(Run)spectra_15-13-24-946,15-13-24-946,36.6907736,2260.8902908
(Run)spectra_15-13-25-004.txt,(Run)spectra_15-13-25-004,15-13-25-004,36.8877518,2257.338376
(Run)spectra_15-13-25-061.txt,(Run)spectra_15-13-25-061,15-13-25-061,36.7743992,2248.3093941
(Run)spectra_15-13-25-122.txt,(Run)spectra_15-13-25-122,15-13-25-122,36.7083199,2236.4645914
(Run)spectra_15-13-25-177.txt,(Run)spectra_15-13-25-177,15-13-25-177,36.7426587,2231.8416504
(Run)spectra_15-13-25-227.txt,(Run)spectra_15-13-25-227,15-13-25-227,37.1222716,2219.4149143
(Run)spectra_15-13-25-288.txt,(Run)spectra_15-13-25-288,15-13-25-288,36.9700379,2206.9056508
(Run)spectra_15-13-25-341.txt,(Run)spectra_15-13-25-341,15-13-25-341,37.1515448,2197.1335493
(Run)spectra_15-13-25-398.txt,(Run)spectra_15-13-25-398,15-13-25-398,37.4930435,2185.2470271
(Run)spectra_15-13-25-450.txt,(Run)spectra_15-13-25-450,15-13-25-450,37.524898,2175.8854981
(Run)spectra_15-13-25-507.txt,(Run)spectra_15-13-25-507,15-13-25-507,37.4248614,2160.6264999
(Run)spectra_15-13-25-564.txt,(Run)spectra_15-13-25-564,15-13-25-564,37.6809265,2149.2453844
(Run)spectra_15-13-25-626.txt,(Run)spectra_15-13-25-626,15-13-25-626,37.5129646,2137.9640705
(Run)spectra_15-13-25-675.txt,(Run)spectra_15-13-25-675,15-13-25-675,37.6494529,2127.8044899
(Run)spectra_15-13-25-734.txt,(Run)spectra_15-13-25-734,15-13-25-734,37.8202807,2118.5644799
(Run)spectra_15-13-25-791.txt,(Run)spectra_15-13-25-791,15-13-25-791,37.6721315,2102.9564597
(Run)spectra_15-13-25-843.txt,(Run)spectra_15-13-25-843,15-13-25-843,37.8385954,2094.3625482
(Run)spectra_15-13-25-898.txt,(Run)spectra_15-13-25-898,15-13-25-898,37.8771118,2093.3217618
(Run)spectra_15-13-25-953.txt,(Run)spectra_15-13-25-953,15-13-25-953,37.9372657,2079.2992719
(Run)spectra_15-13-26-013.txt,(Run)spectra_15-13-26-013,15-13-26-013,37.8934207,2070.525566
(Run)spectra_15-13-26-069.txt,(Run)spectra_15-13-26-069,15-13-26-069,38.0370797,2067.1966514
(Run)spectra_15-13-26-130.txt,(Run)spectra_15-13-26-130,15-13-26-130,38.1838943,2065.2440543
(Run)spectra_15-13-26-180.txt,(Run)spectra_15-13-26-180,15-13-26-180,38.4170647,2063.0267241
(Run)spectra_15-13-26-238.txt,(Run)spectra_15-13-26-238,15-13-26-238,38.6265789,2057.8087466
